,Date,Title,Views,Likes,Comments,Month,Month_Number
176,2020-03-01 00:50:38+00:00,SQL Basics Tutorial For Beginners | Installing SQL Server Management Studio and Create Tables | 1/4,438148,7289,566,March,3
177,2020-02-26 15:11:22+00:00,Data Analyst Fact Check |  84k Average Starting Salary?? | The Career Force 2020 Data Analyst Salary,23301,803,159,February,2
178,2020-02-24 16:34:51+00:00,Data Analyst Resume | Reviewing YOUR Data Analyst Resumes!,20674,473,43,February,2
179,2020-02-19 15:43:59+00:00,Data Analyst Salary in 2020,7669,149,22,February,2
180,2020-02-14 18:03:34+00:00,Working With a Recruiter to Land Your First Job as a Data Analyst | LinkedIn Recruiters,9924,465,37,February,2
181,2020-02-11 15:03:18+00:00,Switching Careers to Become a Data Analyst | How I Made the Switch,45304,1684,247,February,2
182,2020-02-06 16:00:52+00:00,Data Analyst Resume | Complete Guide To Creating A Data Analyst Resume | Tips + Templates + Examples,90313,2804,85,February,2
183,2020-01-30 14:07:55+00:00,Data Analyst Resume | Reviewing My Resume! | Fortune 500 Data Analyst,58197,1447,64,January,1
184,2020-01-25 16:38:39+00:00,Working at a Big Company Vs Small Company | Told by a Fortune 500 Data Analyst,12629,358,20,January,1
185,2020-01-23 03:16:09+00:00,Data Analyst Salary | 100k with No Experience,54960,1959,219,January,1
186,2020-01-21 03:52:15+00:00,Truth About Big Companies | Told by a Fortune 500 Data Analyst,6838,265,17,January,1
187,2020-01-17 14:31:39+00:00,Top 3 Data Analyst Skills in 2020,25292,1267,137,January,1
